Date,Close Price,log.return
2015-08-20,234.69,0.040433259
2015-08-21,231.94,-0.011786777
2015-08-22,229.74,-0.009530483
2015-08-23,227.59,-0.00940247
2015-08-24,209.13,-0.084589696
2015-08-25,221.71,0.058414153
2015-08-26,225.38,0.016417645
2015-08-27,224.26,-0.004981773
2015-08-28,230.98,0.029525034
2015-08-29,229.76,-0.005295841
2015-08-30,228.61,-0.005017791
2015-08-31,230.02,0.006148767
2015-09-01,227.35,-0.011675581
2015-09-02,228.86,0.006619783
2015-09-03,226.76,-0.009218273
2015-09-04,230.09,0.014578347
2015-09-05,234.68,0.019752347
2015-09-06,239.44,0.020079979
2015-09-07,240.02,0.00241939
2015-09-08,243.55,0.014600007
2015-09-09,238.29,-0.021833841
2015-09-10,238.59,0.001258178
2015-09-11,240.08,0.006225603
2015-09-12,234.82,-0.022152938
2015-09-13,230.33,-0.0193062
2015-09-14,230.24,-0.00039082
2015-09-15,229.92,-0.001390821
2015-09-16,228.8,-0.004883163
2015-09-17,232.79,0.0172885
2015-09-18,232.72,-0.000300745
2015-09-19,231.24,-0.006379882
2015-09-20,230.86,-0.001644666
2015-09-21,226.61,-0.018580988
2015-09-22,230.52,0.017107148
2015-09-23,229.96,-0.002432246
2015-09-24,234.28,0.0186116
2015-09-25,234.84,0.00238745
2015-09-26,234.21,-0.002686282
2015-09-27,232.85,-0.005823679
2015-09-28,239.34,0.027490666
2015-09-29,236.62,-0.011429656
2015-09-30,236.25,-0.001564912
2015-10-01,237.57,0.005571751
2015-10-02,237.4,-0.000715835
2015-10-03,239.09,0.007093568
2015-10-04,238.69,-0.001674411
2015-10-05,240.59,0.007928601
2015-10-06,246.42,0.023943157
2015-10-07,243.27,-0.01286546
2015-10-08,242.69,-0.002387029
2015-10-09,244.32,0.006693933
2015-10-10,245.33,0.004125402
2015-10-11,247.53,0.008927544
2015-10-12,245.59,-0.007868308
2015-10-13,249.94,0.01755741
2015-10-14,252.59,0.010546732
2015-10-15,254.81,0.008750549
2015-10-16,262.94,0.0314077
2015-10-17,271.2,0.030930687
2015-10-18,262.9,-0.031082824
2015-10-19,264.42,0.005765016
2015-10-20,270.22,0.021697694
2015-10-21,267.33,-0.010752592
2015-10-22,274.41,0.026139488
2015-10-23,277.46,0.01105344
2015-10-24,282.66,0.018567983
2015-10-25,283.07,0.001449455
2015-10-26,286.13,0.010752036
2015-10-27,294.4,0.028493134
2015-10-28,303.89,0.031726407
2015-10-29,313.59,0.031420606
2015-10-30,326,0.038810981
2015-10-31,312.43,-0.042516937
2015-11-01,325.08,0.039690862
2015-11-02,359.35,0.100225538
2015-11-03,400.71,0.10894113
2015-11-04,408.74,0.019841283
2015-11-05,387.51,-0.053337602
2015-11-06,374.95,-0.032948971
2015-11-07,384.8,0.025931035
2015-11-08,373.49,-0.029832488
2015-11-09,380.04,0.01738528
2015-11-10,337.93,-0.117437737
2015-11-11,312.58,-0.077978337
2015-11-12,336.86,0.074806977
2015-11-13,337.29,0.001275681
2015-11-14,333.55,-0.011150315
2015-11-15,319.93,-0.041690557
2015-11-16,331.59,0.035797044
2015-11-17,335.77,0.012527136
2015-11-18,334.97,-0.002385426
2015-11-19,326.31,-0.026193126
2015-11-20,321.99,-0.013327361
2015-11-21,327.17,0.015959424
2015-11-22,324.34,-0.008687565
2015-11-23,323.26,-0.003335395
2015-11-24,320.16,-0.009636082
2015-11-25,328.98,0.027176088
2015-11-26,353.3,0.071320596
2015-11-27,358.18,0.013718099
2015-11-28,357.66,-0.001452839
2015-11-29,371.86,0.038934625
2015-11-30,376.91,0.013488993
2015-12-01,362.73,-0.038347676
2015-12-02,359.43,-0.009139313
2015-12-03,361.31,0.005216872
2015-12-04,363.48,0.005987959
2015-12-05,388.86,0.067495107
2015-12-06,388.46,-0.001029177
2015-12-07,395.86,0.018870409
2015-12-08,418.14,0.054755691
2015-12-09,418.04,-0.000239183
2015-12-10,415.25,-0.006696373
2015-12-11,453.9,0.088996161
2015-12-12,435.9,-0.04046405
2015-12-13,433.54,-0.005428795
2015-12-14,443.84,0.023480073
2015-12-15,465.5,0.04764796
2015-12-16,455.37,-0.022001821
2015-12-17,455.99,0.001360604
2015-12-18,463.84,0.017068786
2015-12-19,462.23,-0.003477062
2015-12-20,442.5,-0.043622138
2015-12-21,437.76,-0.010769649
2015-12-22,435.5,-0.005176019
2015-12-23,442.84,0.016713735
2015-12-24,454.85,0.026759163
2015-12-25,455.31,0.001010811
2015-12-26,417.22,-0.087364845
2015-12-27,422.52,0.012623122
2015-12-28,421.26,-0.002986563
2015-12-29,432.62,0.026609524
2015-12-30,426.14,-0.015091814
2015-12-31,430.05,0.00913355
2016-01-01,434.46,0.0102024
2016-01-02,433.59,-0.002004493
2016-01-03,430.36,-0.007477319
2016-01-04,433.49,0.00724666
2016-01-05,432.25,-0.002864603
2016-01-06,429.46,-0.006475519
2016-01-07,458.28,0.064951745
2016-01-08,453.37,-0.010771782
2016-01-09,449.14,-0.009373926
2016-01-10,448.96,-0.000400846
2016-01-11,448.38,-0.00129271
2016-01-12,432.88,-0.035180534
2016-01-13,432.04,-0.001942377
2016-01-14,429.73,-0.005361072
2016-01-15,358.77,-0.18047559
2016-01-16,387.66,0.077447152
2016-01-17,380.21,-0.019404935
2016-01-18,385.84,0.014699044
2016-01-19,377.74,-0.021216647
2016-01-20,418.74,0.103044074
2016-01-21,409.94,-0.021239395
2016-01-22,381.76,-0.071218669
2016-01-23,386.19,0.011537337
2016-01-24,402.61,0.041638875
2016-01-25,390.66,-0.030130735
2016-01-26,391.43,0.001969083
2016-01-27,394.63,0.008141917
2016-01-28,379.38,-0.039410276
2016-01-29,378.2,-0.003115185
2016-01-30,376.94,-0.003337133
2016-01-31,367.13,-0.026370015
2016-02-01,371.25,0.011159681
2016-02-02,372.88,0.004380962
2016-02-03,368.93,-0.010649728
